,File,HLA,Avg_Token_NLL,model_path
615,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAC0802_1_per_token_metrics.csv,C0802,14.106832091394017,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0802/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_1_HLAC0802_1.pt
1450,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_6_HLAB5801_1_per_token_metrics.csv,B5801,14.158330877050567,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB5801/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_6_HLAB5801_1.pt
307,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAC0501_2_per_token_metrics.csv,C0501,14.160179433615312,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0501/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAC0501_2.pt
1322,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAA0217_1_per_token_metrics.csv,A0217,14.170820784296193,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0217/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAA0217_1.pt
671,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAA6901_1_per_token_metrics.csv,A6901,14.221547660451485,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA6901/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAA6901_1.pt
1615,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAA2403_2_per_token_metrics.csv,A2403,14.228991190974883,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2403/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAA2403_2.pt
1550,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB4001_1_per_token_metrics.csv,B4001,14.286983817589856,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB4001/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB4001_1.pt
584,ESMMASK_epitope_FT_25_0.001_1e-06_AUG_6_HLAA0211_2_per_token_metrics.csv,A0211,14.300982536561786,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0211/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_6_HLAA0211_2.pt
303,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAC0501_2_per_token_metrics.csv,C0501,14.303531592267214,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0501/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAC0501_2.pt
826,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_6_HLAC0304_1_per_token_metrics.csv,C0304,14.395716220525275,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0304/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_6_HLAC0304_1.pt
532,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_HLAA3201_1_per_token_metrics.csv,A3201,14.429117445574102,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3201/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_HLAA3201_1.pt
585,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0211_1_per_token_metrics.csv,A0211,14.441155307395661,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0211/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_1_HLAA0211_1.pt
