HLA,group_label,training_data,n_reps,mean,std
pooled,Non-PT E 0L,32.0,3,0.31428571428571433,0.0
pooled,Non-PT E 0L,44.0,3,0.0,0.0
pooled,Non-PT E 0L,48.0,3,-0.17142857142857143,0.0
pooled,Non-PT E 0L,59.6,3,0.4609270658228999,0.0
pooled,Non-PT E 0L,64.0,3,0.8285714285714286,0.0
pooled,Non-PT E 0L,66.0,3,0.5161002296110788,0.0
pooled,Non-PT E 0L,76.0,3,0.4285714285714286,0.0
pooled,Non-PT E 0L,88.0,3,0.6361052307244792,0.0
pooled,Non-PT E 0L,89.39999999999999,3,0.1957605298861737,0.0
pooled,Non-PT E 0L,104.5,3,0.4755168249272322,0.0
pooled,Non-PT E 0L,119.2,3,0.2384719182249752,0.0
pooled,Non-PT E 0L,141.54999999999998,3,0.33279290080649526,0.0
pooled,Non-PT E 0L,167.20000000000002,3,0.0,0.0
pooled,Non-PT E 0L,185.8,3,0.2833333333333333,0.0
pooled,Non-PT E 0L,268.2,3,0.07142857142857136,0.0
pooled,Non-PT E 0L,270.0,3,0.024541724765593936,0.0
pooled,Non-PT E 0L,330.40000000000003,3,0.0,0.0
pooled,Non-PT E 0L,334.40000000000003,3,0.0,0.0
pooled,Non-PT E 0L,336.6,3,0.14422431104968791,0.0
pooled,Non-PT E 0L,371.6,3,-0.0833333333333333,0.0
pooled,Non-PT E 0L,429.6,3,0.2552447552447553,0.0
pooled,Non-PT E 0L,448.6,3,-0.1071428571428572,0.0
pooled,Non-PT E 0L,454.8,3,0.4107142857142858,0.0
pooled,Non-PT E 0L,474.8,3,0.060210598310265206,0.0
pooled,Non-PT E 0L,495.40000000000003,3,0.182568912589398,0.0
pooled,Non-PT E 0L,501.59999999999997,3,0.0,0.0
pooled,Non-PT E 0L,517.2,3,0.0,0.0
pooled,Non-PT E 0L,536.4,3,0.2994505494505494,0.0
pooled,Non-PT E 0L,540.0,3,0.2024692293161501,0.0
pooled,Non-PT E 0L,557.4,3,-0.0166666666666666,0.0
pooled,Non-PT E 0L,587.4,3,0.3614842312201867,0.0
pooled,Non-PT E 0L,611.6,3,0.24418677378576287,0.0
pooled,Non-PT E 0L,660.8000000000001,3,0.0,0.0
pooled,Non-PT E 0L,665.2,3,0.005357142857142894,0.0
pooled,Non-PT E 0L,668.8000000000001,3,0.0,0.0
pooled,Non-PT E 0L,673.2,3,0.25942903800095674,0.0
pooled,Non-PT E 0L,743.2,3,-0.04166666666666665,0.0
pooled,Non-PT E 0L,744.8000000000001,3,0.4481855181361317,0.0
pooled,Non-PT E 0L,757.6,3,0.2038396386222473,0.0
pooled,Non-PT E 0L,758.0,3,0.35722541983319916,0.0
pooled,Non-PT E 0L,794.1999999999999,3,0.0,0.0
pooled,Non-PT E 0L,804.6,3,0.2664835164835164,0.0
pooled,Non-PT E 0L,810.0,3,0.2576881100387365,0.0
pooled,Non-PT E 0L,859.2,3,0.4405594405594405,0.0
pooled,Non-PT E 0L,882.55,3,0.1,0.0
pooled,Non-PT E 0L,897.2,3,-0.35714285714285715,0.0
pooled,Non-PT E 0L,909.6,3,0.25,0.0
pooled,Non-PT E 0L,949.6,3,0.11039618242950795,0.0
pooled,Non-PT E 0L,975.2,3,0.4404761904761905,0.0
pooled,Non-PT E 0L,990.8000000000001,3,0.1636341587069699,0.0
pooled,Non-PT E 0L,991.1999999999999,3,0.0,0.0
pooled,Non-PT E 0L,1009.8,3,0.0735626768631808,0.0
pooled,Non-PT E 0L,1034.4,3,0.0,0.0
pooled,Non-PT E 0L,1072.8,3,0.2912087912087912,0.0
pooled,Non-PT E 0L,1080.0,3,0.3251778531441198,0.0
pooled,Non-PT E 0L,1143.4,3,0.15778391270783715,0.0
pooled,Non-PT E 0L,1174.8,3,-0.1712293726832464,0.0
pooled,Non-PT E 0L,1181.2,3,0.0,0.0
pooled,Non-PT E 0L,1223.2,3,0.2532044596226645,0.0
pooled,Non-PT E 0L,1255.6000000000001,3,0.36153169436975624,0.0
pooled,Non-PT E 0L,1273.95,3,0.28846153846153844,0.0
pooled,Non-PT E 0L,1282.5,3,0.478563632929082,0.0
pooled,Non-PT E 0L,1288.8,3,0.23426573426573424,0.0
pooled,Non-PT E 0L,1321.6000000000001,3,0.0,0.0
pooled,Non-PT E 0L,1324.4,3,0.0,0.0
pooled,Non-PT E 0L,1330.4,3,0.4178571428571428,0.0
pooled,Non-PT E 0L,1345.8,3,0.35714285714285715,0.0
pooled,Non-PT E 0L,1346.4,3,0.24418574368406554,0.0
pooled,Non-PT E 0L,1364.3999999999999,3,0.05357142857142855,0.0
pooled,Non-PT E 0L,1424.3999999999999,3,0.1595127006491045,0.0
pooled,Non-PT E 0L,1486.2,3,0.22020750872154174,0.0
pooled,Non-PT E 0L,1489.6000000000001,3,0.38317333445100205,0.0
pooled,Non-PT E 0L,1515.2,3,0.5561829474872955,0.0
pooled,Non-PT E 0L,1516.0,3,0.1943232763373708,0.0
pooled,Non-PT E 0L,1551.6,3,0.0,0.0
pooled,Non-PT E 0L,1569.3999999999999,3,0.0,0.0
pooled,Non-PT E 0L,1598.85,3,0.2711998721442537,0.0
pooled,Non-PT E 0L,1718.4,3,0.4090909090909091,0.0
pooled,Non-PT E 0L,1762.2,3,-0.18391302991904243,0.0
pooled,Non-PT E 0L,1794.4,3,0.01785714285714285,0.0
pooled,Non-PT E 0L,1819.2,3,0.25,0.0
pooled,Non-PT E 0L,1834.8,3,0.2870461120892391,0.0
